,Aircraft,Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Food_Beverages,Inflight_Entertainment,Ground_Service,Wifi_Connectivity,Value_For_Money,Recommended
176,,Solo Leisure,Economy Class,Dallas Ft Worth to Mumbai via Istanbul,February 2023,1,1,1,,2,,1,no
177,,Solo Leisure,Economy Class,Delhi to Dallas via Istanbul,March 2023,1,1,,,1,,1,no
178,,Couple Leisure,Economy Class,Frankfurt to Istanbul,April 2023,4,4,2,5,2,,3,yes
179,A320-200 / Boeing 737-800,Family Leisure,Economy Class,Zurich to Rize via Istanbul,July 2022,5,5,5,3,4,5,4,yes
180,,Solo Leisure,Economy Class,Frankfurt to Tel Aviv via Istanbul,March 2023,4,5,4,,1,,3,no
181,,Couple Leisure,Economy Class,Athens to San Francisco via Istanbul,April 2023,3,3,3,3,1,,3,no
182,A333 /A321,Couple Leisure,Business Class,Bangkok to Marrakech via Istanbul,March 2023,1,3,5,3,2,2,2,no
183,,Business,Economy Class,Oslo to Baku via Istanbul,March 2023,3,3,3,,1,,3,no
184,A330,Couple Leisure,Business Class,Newark to İstanbul,March 2023,2,2,2,2,1,2,1,no
185,,Solo Leisure,Economy Class,Paris to Kigali via Istanbul,March 2023,2,1,2,2,1,2,2,no
186,"Boeing 787-9, Boeing 737 MAX 8",Family Leisure,Economy Class,Singapore to Budapest via Istanbul,March 2023,5,4,2,5,5,2,4,yes
187,,Business,Economy Class,Barcelona to Cape Town via Istanbul,March 2023,2,1,,,1,,1,no
188,A321,Business,Business Class,Istanbul to Brussels,February 2023,3,3,2,,2,,3,no
189,,Solo Leisure,Economy Class,Zurich to Bishkek via Istanbul,February 2023,3,1,3,3,1,,1,no
190,A330,Business,Business Class,Dubai to Istanbul,February 2023,2,3,2,,2,,3,no
191,,Solo Leisure,Economy Class,Bishkek to Amsterdam via Istanbul,February 2023,5,5,4,2,5,5,5,yes
192,Boeing 777,Solo Leisure,Economy Class,Edinburgh to Singapore via Istanbul,January 2023,3,3,2,3,1,,1,no
193,A330,Solo Leisure,Business Class,Bangkok to Paris via Istanbul,February 2023,2,5,5,3,4,5,2,no
194,A350,Solo Leisure,Economy Class,London to Johannesburg via Istanbul,February 2023,4,5,5,5,5,,5,yes
195,,Family Leisure,Economy Class,Dusseldorf to Istanbul,February 2023,2,3,2,,1,,1,no
196,,Solo Leisure,Economy Class,Amsterdam to Istanbul,February 2023,2,1,1,1,1,1,1,no
197,,Family Leisure,Economy Class,Copenhagen to Buenos Aires via Istanbul,February 2023,1,1,1,1,1,1,1,no
198,,Family Leisure,Economy Class,Budapest to Cancun via Istanbul,February 2023,4,1,2,3,1,,2,no
199,,Solo Leisure,Economy Class,Newark to Manila via Istanbul,January 2023,3,3,2,2,1,,2,no
200,Boeing 737-800,Solo Leisure,Economy Class,Chicago to Addis Ababa via Istanbul,January 2023,1,1,1,1,1,1,1,no
201,,Solo Leisure,Economy Class,Budapest to Nairobi via Istanbul,December 2022,,,,,1,,1,no
202,,Solo Leisure,Economy Class,Hong Kong to Paris via Istanbul,January 2023,1,1,1,1,1,1,1,no
203,,Solo Leisure,Economy Class,Dusseldorf to Iistanbul,January 2023,3,2,1,,1,,1,no
204,,Solo Leisure,Economy Class,Manchester to Kayseri via Istanbul,December 2022,3,3,3,3,1,1,2,no
205,,Family Leisure,Economy Class,Delhi to Stuttgart via Istanbul,January 2023,2,3,3,2,2,1,3,no
206,,Business,Economy Class,Houston to Beirut via Istanbul,March 2022,5,5,5,5,5,5,5,yes
207,,Couple Leisure,Economy Class,Bali to Vilnius via Istanbul,January 2023,1,5,3,2,1,2,2,no
208,Boeing 777,Family Leisure,Economy Class,Singapore to Munich via Istanbul,December 2022,1,1,1,,1,,1,no
209,,Solo Leisure,Economy Class,Entebbe to Washington via Istanbul,December 2022,1,1,3,3,1,,1,no
210,,Solo Leisure,Economy Class,Dallas to Mumbai via Istanbul,February 2022,1,1,,,1,,1,no
211,,Couple Leisure,Business Class,San Francisco to Mumbai via Istanbul,December 2022,4,4,4,4,2,4,2,no
212,A321/A330/B777,Solo Leisure,Economy Class,Frankfurt to Nairobi via Istanbul,November 2022,2,2,1,2,1,,2,no
213,,Solo Leisure,Economy Class,Istanbul to London,November 2022,1,1,2,4,2,1,2,no
214,,Couple Leisure,Economy Class,Boston to Bishkek via Istanbul,September 2022,1,1,3,2,1,1,1,no
215,Boeing 777-300,Couple Leisure,Economy Class,Antalya to London via Istanbul,November 2022,5,5,5,5,5,5,5,yes
216,,Family Leisure,Economy Class,Istanbul to Los Angeles,November 2022,3,2,2,2,1,1,2,no
217,,Business,Economy Class,Washington to Manila via Istanbul,November 2022,5,5,5,5,5,5,5,yes
218,A350 -900,Solo Leisure,Business Class,Manila to Ankara via Istanbul,November 2022,4,4,5,5,5,5,4,yes
219,A330,Couple Leisure,Economy Class,Zurich to Mahe via Istanbul,September 2022,2,2,1,2,1,,1,no
220,,Couple Leisure,Business Class,San Francisco to Dhaka via Istanbul,March 2022,3,3,1,1,1,1,1,no
221,Boeing 777-300ER,Solo Leisure,Economy Class,Tokyo to Istanbul,November 2022,2,2,2,2,3,1,2,no
222,,Family Leisure,Economy Class,Washington to Istanbul,November 2022,4,4,4,4,1,3,3,no
223,,Couple Leisure,Economy Class,Jeddah to London Stansted via Istanbul,November 2022,1,1,1,1,1,1,4,no
224,,Couple Leisure,Business Class,Vancouver to Dubia via Istanbul,November 2022,4,1,3,4,2,5,2,no
225,,Couple Leisure,Economy Class,Tel Aviv to San Francisco via Istanbul,September 2022,3,4,3,4,1,4,1,no
226,Boeing 737 Max 8,Business,Economy Class,Vilnius to Istanbul,November 2022,1,4,3,4,2,,3,no
227,,Family Leisure,Business Class,Jeddah to Istanbul,October 2022,1,1,1,,1,,1,no
228,A321N,Family Leisure,Economy Class,Munich to Istanbul,October 2022,4,4,5,4,3,,5,yes
229,"A330, Boeing 737, Boeing 777",Business,Economy Class,London to Istanbul via Cairo,October 2022,2,3,3,,1,,3,yes
230,,Solo Leisure,Economy Class,Istanbul to Lima via Panama city,September 2022,1,1,,,1,,1,no
231,A330-300,Solo Leisure,Business Class,Istanbul to Manchester,October 2022,3,1,1,,1,4,1,no
232,,Business,Economy Class,Istanbul to Lisbon,October 2022,1,1,,,1,,1,no
233,,Business,Economy Class,Naples to  Istanbul,October 2022,3,4,2,3,4,,2,no
234,,Family Leisure,Economy Class,Istanbul to Beirut,October 2022,2,1,3,2,1,2,1,no
235,,Family Leisure,Economy Class,Zurich to Doha via Istanbul,September 2022,3,3,3,,1,,3,no
236,,Solo Leisure,Economy Class,Alanya to Dallas via Istanbul,October 2022,4,1,1,3,2,1,2,no
237,,Family Leisure,Economy Class,Rome to Brisbane via Istanbul,October 2022,4,5,5,5,5,4,5,yes
238,,Business,Business Class,Newark to Hurghada via Istanbul,October 2022,1,1,1,1,1,1,1,no
239,,Couple Leisure,Economy Class,Malaysia to Zurich via Istanbul,September 2022,1,4,1,4,2,,3,no
240,,Couple Leisure,Economy Class,San Francisco to Bahrain via Istanbul,September 2022,3,1,2,4,1,,1,no
241,,Couple Leisure,Economy Class,Tel Aviv to Miami,September 2022,1,1,,1,1,,1,no
242,,Business,Business Class,Tel Aviv to Vienna via Istanbul,September 2022,4,4,4,4,1,3,2,no
243,,Couple Leisure,Business Class,Istanbul to Seattle,September 2022,1,2,4,4,1,2,2,no
244,,Couple Leisure,Economy Class,Istanbul to London,September 2022,1,1,,,1,,1,no
245,,Business,Business Class,Istanbul to Washington,September 2022,1,3,3,3,1,3,1,no
246,A321,Family Leisure,Economy Class,Stuttgart to İstanbul,September 2022,5,5,5,5,5,,5,yes
247,A330-300/Boeing 787-9,Solo Leisure,Business Class,Tel Aviv to Dallas via Istanbul,September 2022,5,5,5,5,4,5,5,yes
248,Boeing 737-900ER,Couple Leisure,Business Class,İstanbul to Tel Aviv-Yafo,September 2022,4,5,5,,4,5,4,yes
249,Boeing 87-9 Dreamliner,Couple Leisure,Business Class,Dallas to İstanbul,September 2022,4,5,5,5,4,5,5,yes
250,A330 and Boeing 737-800,Couple Leisure,Economy Class,Beirut to Sofia via Istanbul,September 2022,3,3,1,5,1,,2,no
251,Boeing 777-300,Business,Business Class,London to Istanbul,September 2022,1,,,,1,,1,no
252,,Solo Leisure,Economy Class,Malta to Boston via Istanbul,September 2022,2,4,3,2,1,,1,no
253,,Couple Leisure,Economy Class,Istanbul to Edinburgh,September 2022,3,1,2,1,1,,1,no
254,,Family Leisure,Economy Class,Malaga to Sharm el Sheikh via Istanbul,September 2022,5,4,5,,1,,3,no
