,Aircraft,Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Food_Beverages,Inflight_Entertainment,Ground_Service,Wifi_Connectivity,Value_For_Money,Recommended
255,Airbus 330,Couple Leisure,Economy Class,Istanbul to Manchester,September 2022,5,5,5,5,5,,5,yes
256,,Couple Leisure,Economy Class,Paris to İstanbu,September 2022,4,5,4,5,5,,5,yes
257,,Business,Economy Class,Istanbul to Sarajevo,September 2022,3,1,2,,2,,1,no
258,,Solo Leisure,Economy Class,"Skopje to Singapore via Istanbul,",September 2022,1,1,1,1,1,1,1,no
259,,Family Leisure,Economy Class,Delhi to Nuremberg via Istanbul,August 2022,1,1,1,,1,,1,no
260,,Family Leisure,Economy Class,Istanbul to Cairo,August 2022,3,3,,,1,,1,no
261,,Family Leisure,Economy Class,Bodrum to Gatwick,August 2022,4,5,5,5,5,,5,yes
262,,Family Leisure,Business Class,New York to Cairo via Istanbul,August 2022,4,4,5,4,1,,3,no
263,,Couple Leisure,Economy Class,Los Angeles to Istanbul,September 2022,1,1,1,1,1,1,1,no
264,A330,Solo Leisure,Economy Class,Istanbul to Oslo,August 2022,3,3,3,3,1,,2,no
265,Boeing 787,Family Leisure,Business Class,Atlanta to Istanbul,June 2022,4,5,4,4,4,5,5,yes
266,,Business,Economy Class,Dusseldorf to Istanbul,July 2022,1,1,,,1,,1,no
267,,Solo Leisure,Economy Class,Istanbul to London,July 2022,3,3,3,2,1,,3,no
268,,Couple Leisure,Economy Class,Istanbul to Athens,August 2022,4,3,3,4,1,,2,no
269,,Solo Leisure,Business Class,Gatwick to Cape Town via Istanbul,August 2022,2,2,2,,1,2,1,no
270,,Solo Leisure,Economy Class,Istanbul to Bodrum,August 2022,1,1,,,1,,1,no
271,Boeing 787,Family Leisure,Economy Class,Istanbul to Newark,August 2022,4,5,4,5,5,,5,yes
272,Boeing 777-300er,Family Leisure,Economy Class,Istanbul to Los Angeles,August 2022,1,1,3,3,1,,1,no
273,A330,Business,Business Class,Istanbul to Bahrain,August 2022,1,2,2,3,2,,1,no
274,,Solo Leisure,Economy Class,Dallas to Istanbul,August 2022,2,1,2,,1,,1,no
275,,Family Leisure,Economy Class,Skopje to Miami via Istanbul,August 2022,2,3,3,3,1,,2,no
276,,Family Leisure,Economy Class,Billund to Van via Istanbul,July 2022,1,1,2,,1,,1,no
277,,Solo Leisure,Economy Class,Los Angeles to Amsterdam via Istanbul,July 2022,1,4,,,1,,1,no
278,B77W,Family Leisure,Economy Class,Los Angeles to Istanbul,August 2022,2,5,4,3,1,,3,no
279,,Solo Leisure,Economy Class,Istanbul to Copenhagen,August 2022,2,1,1,1,1,,1,no
280,A321,Business,Business Class,Paris to Istanbul,August 2022,1,3,1,1,1,1,1,no
281,Boeing 777-300ER,Solo Leisure,Economy Class,Istanbul to Kuala Lumpur,August 2022,5,5,5,5,3,5,5,yes
282,,Solo Leisure,Economy Class,Tel Aviv to Singapore via Istanbul,July 2022,2,1,3,3,1,1,1,no
283,,Family Leisure,Economy Class,Istanbul to Jakarta,August 2022,2,3,3,3,1,,1,no
284,,Family Leisure,Economy Class,Boston to Athens,August 2022,3,3,3,3,1,3,1,no
285,,Solo Leisure,Economy Class,Istanbul to Milan,August 2022,2,4,,,1,,3,no
286,Boeing 777-300ER,Business,Business Class,Kuala Lumpur to Istanbul,August 2022,3,3,3,2,2,5,3,no
287,,Family Leisure,Economy Class,Newark to Thessaloniki via Istanbul,July 2022,1,5,4,4,1,,1,no
288,,Family Leisure,Economy Class,Istanbul to New York,August 2022,2,1,2,1,1,,1,no
289,Boeing 777/A330,Couple Leisure,Business Class,Jakarta to Amsterdam via Instanbul,June 2022,5,4,4,4,4,,5,yes
290,,Family Leisure,Economy Class,Istanbul to Amsterdam,August 2022,3,3,2,3,1,,1,no
291,A330,Couple Leisure,Business Class,Istanbul to Amman,July 2022,3,4,3,2,4,5,3,no
292,,Solo Leisure,Economy Class,Mumbai to Cancun via Istanbul,July 2022,1,1,1,1,1,1,1,no
293,Boeing 737 / A330,Solo Leisure,Business Class,Ankara to Bangkok via Istanbul,July 2022,4,3,3,2,3,,3,no
294,Boeing 777-300ER,Couple Leisure,Business Class,Singapore to London via Istanbul,May 2022,3,4,5,3,3,,4,yes
295,,Solo Leisure,Economy Class,Bahrain to Istanbul,July 2022,1,1,1,1,1,1,1,no
296,,Family Leisure,Economy Class,Rome to Dubai via Istanbul,July 2022,3,2,2,,1,,2,no
297,A330-300,Family Leisure,Business Class,Boston to Athens via Istanbul,July 2022,4,5,5,5,5,5,5,yes
298,TK3139,Solo Leisure,Economy Class,Moscow to Antalya,July 2022,3,3,,,1,,3,yes
299,,Couple Leisure,Economy Class,Houston to Istanbul,November 2021,1,5,1,,1,,1,no
300,,Solo Leisure,Economy Class,Istanbul to Newark,July 2022,2,2,3,5,1,,1,no
301,,Couple Leisure,Economy Class,Istanbul to San Francisco,July 2022,1,5,2,2,1,,1,no
302,"A330, Boeing 787",Family Leisure,Economy Class,Kathmandu to Dallas Fort-Worth via Istanbul,July 2022,2,2,1,5,1,5,1,no
303,,Family Leisure,Economy Class,Malta to Kuala Lumpur via Istanbul,June 2022,3,3,,,1,,1,no
304,,Couple Leisure,Economy Class,London to Seychelles via Istanbul,June 2022,2,1,2,3,1,,2,no
305,,Solo Leisure,Economy Class,New York to Kathmandu via Istanbul,July 2022,1,1,1,3,1,,1,no
306,A330,Solo Leisure,Business Class,Paris to Tashkent via Istanbul,July 2022,3,4,4,4,1,4,1,no
307,,Couple Leisure,Economy Class,Detroit to Tabriz,July 2022,1,1,1,1,1,,1,no
308,,Couple Leisure,Economy Class,Chicago to Rome via Istanbul,July 2022,1,3,3,3,1,,1,no
309,,Family Leisure,Economy Class,Athens to Istanbul via New York,July 2022,1,1,,,1,,1,no
310,,Business,Economy Class,Frankfurt to Dubai via Istanbul,June 2022,4,3,3,4,1,2,1,no
311,,Couple Leisure,Economy Class,Los Angeles to Tel Aviv via Istanbul,May 2022,1,1,1,2,1,1,1,no
312,,Solo Leisure,Economy Class,Toronto to Tehran via Istanbul,June 2022,1,1,3,3,1,2,1,no
313,,Couple Leisure,Economy Class,Paris to Los Angeles via Istanbul,June 2022,2,2,3,4,4,,3,no
314,Boeing 777,Solo Leisure,Economy Class,London to Kuala Lumpur via Istanbul,April 2022,1,1,1,1,1,1,1,no
315,,Business,Economy Class,Berlin to Bangkok via Istanbul,June 2022,1,1,2,1,1,,1,no
316,,Solo Leisure,Economy Class,Manchester to Kuala Lumpur via Istanbul,June 2022,4,3,4,4,4,3,4,yes
317,,Solo Leisure,Economy Class,Milan Malpensa to Doha via Istanbul,May 2022,4,4,4,4,2,,3,no
318,,Business,Business Class,New York to Jakarta via Istanbul,February 2022,4,4,3,3,4,,2,no
319,,Solo Leisure,Economy Class,Ercan to Zurich via Istanbul,June 2022,2,4,4,4,2,,2,no
320,Boeing 777-300 / A350-900,Family Leisure,Economy Class,Kuala Lumpur to Toronto via Istanbul,May 2022,4,5,5,4,1,,4,yes
321,,Solo Leisure,Business Class,"Budapest to Istanbul via Singapore, Sydney",June 2022,3,1,4,,1,2,1,no
322,,Solo Leisure,Economy Class,San Francisco to Tehran via Istanbul,May 2022,4,2,2,2,1,2,1,no
323,A350,Business,Business Class,Ankara to Istanbul,June 2022,3,5,5,,1,,5,yes
324,,Couple Leisure,Economy Class,Kuwait to Valencia,June 2022,2,2,,,1,,1,no
325,A350,Solo Leisure,Business Class,Istanbul to Manila,June 2022,3,1,1,3,2,3,2,no
326,Boeing 737,Family Leisure,Economy Class,Antalya to Birmingham,June 2022,3,4,2,1,1,1,1,no
327,,Solo Leisure,Economy Class,Dhaka to New York via Istanbul,June 2022,3,4,3,2,3,,3,no
328,,Family Leisure,Economy Class,Toronto to Mombasa via Istanbul,June 2022,1,1,1,1,1,1,1,no
329,Boeing 777,Family Leisure,Economy Class,Istanbul to Chicago,June 2022,3,5,5,5,4,3,4,yes
330,,Solo Leisure,Economy Class,Frankfurt to Istambul,June 2022,2,1,1,1,1,1,1,no
331,A330,Family Leisure,Business Class,Istanbul to Brussels,June 2022,5,5,4,5,5,,4,yes
332,,Solo Leisure,Economy Class,Kuala Lumpur to Manchester via Istanbul,July 2021,3,4,4,2,1,,3,no
333,B787-9 / A330-300,Couple Leisure,Business Class,Denpasar to Amsterdam via Istanbul,May 2022,4,3,4,4,1,4,3,no
334,A330 / A321 Neo,Solo Leisure,Business Class,Bangkok to Manchester via Istanbul,May 2022,5,5,5,,5,3,5,yes
335,,Solo Leisure,Economy Class,Newark to Istanbul,May 2022,,,,,,,1,no
336,,Family Leisure,Economy Class,Manchester to Dalaman,May 2022,,,,,,,1,no
337,A321 Neo,Solo Leisure,Economy Class,Istanbul to Athens,May 2022,1,1,1,,1,,1,no
338,Boeing 777-300ER,Couple Leisure,Business Class,Chicago to İstanbul,May 2022,5,5,4,4,4,,5,yes
339,Boeing 787-9 Dreamliner,Couple Leisure,Business Class,Istanbul to Dallas Fort-Worth,May 2022,5,5,5,5,4,5,5,yes
340,,Solo Leisure,Economy Class,Johannesburg to Istanbul via Luxembourg,May 2022,1,1,1,1,1,1,1,no
341,,Solo Leisure,Economy Class,Los Angeles to Tel Aviv via Istanbul,April 2022,1,4,3,5,2,4,2,no
342,,Family Leisure,Economy Class,Manchester to Antalya,May 2022,1,1,1,,1,,1,no
343,Boeing 777-300ER,Solo Leisure,Economy Class,Singapore to Istanbul,April 2022,3,2,3,3,3,,4,no
344,Boeing 737 / A330,Couple Leisure,Business Class,Birmingham to Mauritius via Istanbul,May 2022,5,5,5,5,5,,5,yes
345,,Family Leisure,Economy Class,Dubai to Istanbul,May 2022,1,1,1,3,1,4,2,no
346,A321,Solo Leisure,Economy Class,Zagreb to Istanbul,May 2022,2,1,2,4,4,,1,no
347,Boeing 777-330ER,Business,Economy Class,Singapore to Istanbul,April 2022,3,1,2,5,1,2,3,no
348,,Solo Leisure,Business Class,Kathmandu to Manchester via Istanbul,May 2022,5,5,3,1,5,5,3,yes
349,Boeing 777-300ER / A330-300,Family Leisure,Business Class,Washington to Bucharest via Istanbul,May 2022,4,5,5,5,4,,5,yes
350,,Solo Leisure,Economy Class,Miami to Budapest via Istanbul,May 2022,2,2,2,,1,,1,no
351,,Business,Business Class,Teheran to Rome via Istanbul,May 2022,2,3,3,2,1,1,1,no
352,,Solo Leisure,Economy Class,Tbilisi to Bahrain via Istanbul,May 2022,5,4,2,5,1,,4,no
353,A330,Solo Leisure,Business Class,Bucharest to Newark via Istanbul,May 2022,1,1,1,1,4,1,1,no
354,A330,Solo Leisure,Business Class,Bucharest to Newark via Istanbul,May 2022,1,1,1,1,4,1,1,no
355,,Business,Economy Class,Madrid to Singapore via Istanbul,February 2022,3,4,4,4,1,4,3,no
356,,Family Leisure,Economy Class,India to Chicago via Istanbul,May 2022,3,2,1,,1,,2,no
357,Boeing 787,Business,Business Class,Panama to Istanbul,May 2022,5,2,3,5,1,5,2,no
358,,Family Leisure,Economy Class,Istanbul to Paris,May 2022,,,,,1,,1,no
359,Boeing 777-300,Business,Economy Class,Athens to Istanbul,April 2022,2,1,1,2,1,1,1,no
360,A300-300,Solo Leisure,Business Class,Manchester to Istanbul via Bangkok,April 2022,3,5,5,,3,5,5,yes
361,,Family Leisure,Economy Class,Kuwait to Istanbul,May 2022,3,3,2,1,1,,1,no
362,,Family Leisure,Economy Class,Boston to Istanbul,April 2022,1,1,4,1,1,1,1,no
363,,Couple Leisure,Economy Class,Los Angeles to Belgrade via Istanbul,April 2022,1,1,2,1,1,1,1,no
364,,Solo Leisure,Economy Class,Istanbul to Montreal,February 2022,3,2,3,2,1,,1,no
365,Boeing 737-800,Couple Leisure,Economy Class,Venice to Istanbul,April 2022,3,3,3,3,2,,4,yes
366,,Solo Leisure,Business Class,New York JFK to Valencia via Istanbul,April 2022,4,5,5,4,5,5,5,yes
367,,Solo Leisure,Economy Class,Kathmandu to Chicago via Istanbul,March 2022,,,,,,,1,no
368,,Solo Leisure,Economy Class,Dublin to Dhaka via Istanbul,April 2022,1,1,1,2,1,,1,no
369,,Family Leisure,Economy Class,Washington to Lahore  via Istanbul,April 2022,,,,,,,1,no
370,A330,Couple Leisure,Economy Class,Dublin to Dubai via Istanbul,March 2022,4,4,4,3,3,,5,yes
371,,Couple Leisure,Economy Class,Prague to Seychelles via Istanbul,March 2022,2,3,3,4,1,1,4,no
372,,Family Leisure,Economy Class,Washington  to Prague via Istanbul,April 2022,,,,,,,1,no
373,,Couple Leisure,Economy Class,Istanbul to Newark,February 2022,1,1,1,1,1,1,1,no
374,,Couple Leisure,Economy Class,Montreal to Istanbul,March 2022,1,2,2,4,1,,1,no
375,Boeing 737,Family Leisure,Premium Economy,Bahrain to Geneva via Istanbul,March 2022,2,2,1,2,2,2,1,no
376,,Solo Leisure,Economy Class,Dublin to Istanbul,April 2022,3,4,4,4,1,2,3,no
377,,Solo Leisure,Economy Class,London to Istanbul,March 2022,1,2,1,2,1,,1,no
378,,Solo Leisure,Economy Class,Istanbul to Dhaka,March 2022,1,2,1,3,2,,3,no
379,,Family Leisure,Economy Class,,October 2021,,,,,,,1,no
380,,Family Leisure,Economy Class,,March 2022,1,3,1,5,3,1,1,no
381,,Family Leisure,Economy Class,Karachi to Manchester via Istanbul,March 2022,1,2,1,1,1,1,2,no
382,,Solo Leisure,Economy Class,Los Angeles to Brussels via Istanbul,March 2022,1,1,1,1,1,1,1,no
383,,Family Leisure,Economy Class,Karachi to Malaga via Istanbul,January 2022,,,,,,,1,no
384,Boeing 787,Solo Leisure,Business Class,Istanbul to Panama City,March 2022,5,5,5,4,5,,5,yes
385,,Couple Leisure,Economy Class,London to Johannesburg via Istanbul,March 2022,1,1,1,1,1,1,1,no
386,,Couple Leisure,Economy Class,Berlin to Istanbul,March 2022,,,,,,,1,no
387,,Solo Leisure,Economy Class,Dalaman to Istanbul,February 2022,,,,,1,,1,no
388,Boeing 787,Business,Business Class,Istanbul to Los Angeles,March 2022,4,3,3,4,5,4,3,no
389,,Solo Leisure,Economy Class,Los Angeles to Tehran via Istanbul,March 2022,1,1,1,1,1,1,1,no
390,,Solo Leisure,Business Class,Toronto to Lahore via Istanbul,February 2022,4,4,4,3,1,3,1,no
391,,Couple Leisure,Economy Class,Bahrain to Istanbul,March 2022,,,,,,,1,no
392,,Family Leisure,Economy Class,Kazakhstan to Singapore via Istanbul,December 2021,3,1,3,3,1,3,1,no
393,,Solo Leisure,Business Class,Sofia to Chicago via Istanbul,March 2022,1,1,1,1,1,1,1,no
394,,Solo Leisure,Economy Class,San Francisco to Istanbul,March 2022,1,1,2,1,1,1,1,no
395,Boeing 737,Family Leisure,Economy Class,Cluj-Napoca to Lisbon,March 2022,1,1,,,1,,1,no
396,,Solo Leisure,Economy Class,Boston to Istanbul,March 2022,3,2,3,3,1,,2,no
397,,Solo Leisure,Economy Class,Hamburg to Delhi via Istanbul,June 2021,,,,,,,1,no
398,,Couple Leisure,Economy Class,Istanbul to Sydney via Kuala Lumpur,February 2022,1,2,1,1,1,1,1,no
399,,Solo Leisure,Economy Class,Kiev to Las Vegas via Istanbul,December 2021,,,,,,,4,no
400,,Family Leisure,Economy Class,London to Dalaman via Istanbul,January 2022,,,,,,,1,no
401,,Business,Business Class,Washington to Sofia via Istanbul,January 2022,,,,,,,1,no
402,,Solo Leisure,Economy Class,Lagos to Melbourne via Istanbul,February 2022,,,,,1,,1,no
403,,Couple Leisure,Economy Class,Montreal to Lahore via Istanbul,February 2022,2,3,,,1,,1,no
404,,Solo Leisure,Economy Class,San Francisco to Athens via Istanbul,February 2022,,,,,,,1,no
405,,Business,Business Class,Istanbul to Islamabad,February 2022,1,1,1,1,1,1,1,no
406,,Solo Leisure,Economy Class,Sochi to Chisinau via Istanbul,September 2021,,,,,1,,1,no
407,,Solo Leisure,Economy Class,Saint Petersburg to Nice via Istanbul,February 2022,3,3,,,1,,1,no
408,Boeing 777-300,Family Leisure,Economy Class,Washington tyo Tehran via Istanbul,January 2022,3,2,4,3,2,1,3,no
409,,Solo Leisure,Economy Class,Mogadishu to London Heathrow via Istanbul,February 2022,1,1,1,2,1,1,1,no
410,,Family Leisure,Economy Class,Atlanta to Istanbul,February 2022,4,5,5,4,1,3,3,no
411,,Business,Economy Class,Tehran to Izmir,January 2022,3,3,1,,1,,1,yes
412,,Couple Leisure,Economy Class,Dallas to Kathmandu via Istanbul,January 2022,,,,,1,,1,no
413,,Business,Business Class,Malaga to Cairo via Istanbul,January 2022,2,1,2,2,1,2,1,no
414,,Couple Leisure,Economy Class,Zurich to Kuala Lumpur via Istanbul,January 2022,1,1,1,1,1,1,1,no
415,Boeing 787-9,Solo Leisure,Economy Class,Houston to Budapest via Istanbul,September 2021,5,5,5,5,5,5,5,yes
416,,Couple Leisure,Economy Class,Miami to Baghdad via Istanbul,October 2021,,,,,,,1,no
417,,Solo Leisure,Economy Class,Karachi to Atlanta via Istanbul,December 2021,2,3,1,2,1,2,2,no
418,,Family Leisure,Economy Class,Tehran to San Francisco via Istanbul,October 2021,2,2,2,3,2,,1,no
419,,Solo Leisure,Economy Class,Bahrain to Athens via Istanbul,January 2022,2,2,2,1,1,,1,no
420,,Business,Economy Class,Houston to Karachi via Istanbul,December 2021,3,3,3,3,1,3,3,no
421,,Solo Leisure,Economy Class,Lahore to Toronto via Istanbul,January 2022,1,2,1,2,1,1,1,no
422,,Solo Leisure,Economy Class,Houston to Shiraz via Istanbul,November 2021,,,,,,,1,no
423,,Solo Leisure,Economy Class,Dallas to Cameroon via  Istanbul,January 2022,1,1,3,2,1,1,1,no
424,,Solo Leisure,Economy Class,Bahrain to Kiev via Istanbul,January 2022,,,,,,,1,no
425,,Couple Leisure,Economy Class,Chicago to Athens via Istanbul,January 2022,,,,,,,1,no
426,,Family Leisure,Economy Class,Chicago to Entebbe via Istanbul,December 2021,,,,,1,,1,no
427,Boeing 777,Business,Economy Class,Oslo to Bangkok via Istanbul,December 2021,1,1,1,,1,3,1,no
428,,Couple Leisure,Economy Class,Beirut to Miami via Istanbul,January 2022,2,1,1,2,1,1,1,no
429,,Family Leisure,Economy Class,Sydney to Istanbul,December 2021,,,,,,,1,no
430,,Family Leisure,Economy Class,Vancouver to Karachi via Istanbul,January 2022,1,1,1,1,1,1,1,no
431,,Solo Leisure,Economy Class,Dallas Ft Worth to Bologna via Istanbul,January 2022,1,2,2,4,1,1,2,no
432,,Couple Leisure,Economy Class,Almaty to London via Istanbul,January 2022,1,1,1,1,1,1,1,no
433,,Couple Leisure,Economy Class,Manila to Copenhagen via Istanbul,October 2021,1,1,,,1,,1,no
434,,Family Leisure,Economy Class,Chicago to Istanbul,January 2022,,,,,1,,1,no
435,,Family Leisure,Economy Class,Chicago to Vienna via Istanbul,December 2021,1,1,1,1,1,1,1,no
436,,Business,Business Class,Istanbul to Hanover,December 2021,3,2,,,2,,2,no
437,,Solo Leisure,Economy Class,Dalaman to Chicago via Istanbul,December 2021,,,,,,,1,no
438,,Family Leisure,Economy Class,Douala to Houston via Istanbul,December 2021,1,1,1,1,1,1,1,no
439,Boeing 777,Solo Leisure,Economy Class,Houston to Amman via Istanbul,October 2021,1,2,1,1,1,1,3,no
440,,Family Leisure,Economy Class,London to Istanbul,December 2021,2,1,2,3,1,1,2,no
441,,Family Leisure,Economy Class,Miami to Karachi via Istanbul,December 2021,3,1,2,4,2,2,2,no
442,,Solo Leisure,Economy Class,Faisalabad to Singapore via Istanbul,December 2021,,,,,1,,1,no
443,,Family Leisure,Economy Class,Houston to Beirut via Istanbul,December 2021,1,1,,,1,,1,no
444,,Solo Leisure,Economy Class,Singapore to Beirut via Istanbul,December 2021,1,2,1,2,4,,2,no
445,,Couple Leisure,Economy Class,Frankfurt to Tehran via Ankara,December 2021,1,1,1,1,1,1,1,no
446,Boeing 737Max / A350,Business,Business Class,Malta to Manila via Istanbul,November 2021,1,1,1,2,1,2,1,no
447,,Family Leisure,Economy Class,Chicago to Chisinau via Istanbul,December 2021,1,1,2,2,1,,1,no
448,,Solo Leisure,Economy Class,Helsinki to Kuala Lumpur via Istanbul,December 2021,2,4,3,3,1,,1,no
449,,Solo Leisure,Economy Class,Chicago to Lahore via Istanbul,December 2021,3,2,2,1,1,1,2,no
450,,Family Leisure,Economy Class,Miami to Chisinau via Istanbul,December 2021,4,4,4,,1,,1,no
451,,Couple Leisure,Economy Class,,December 2021,1,1,2,3,1,1,1,no
452,,Solo Leisure,Economy Class,Panama City to Tel Aviv via Istanbul,December 2021,,,,,,,1,no
453,,Couple Leisure,Economy Class,Dubai to Paris via Istanbul,December 2021,3,3,4,3,1,,2,no
454,,Family Leisure,Economy Class,Dhaka to New York via Istanbul,December 2021,1,1,1,1,1,1,1,no
455,,Family Leisure,Economy Class,Frankfurt to Dubai via Istanbul,November 2021,1,2,1,,1,,2,no
456,Boeing 777,Solo Leisure,Economy Class,Istanbul to MIami,December 2021,3,5,5,4,3,1,4,yes
457,,Solo Leisure,Economy Class,Taipei to Paris via Istanbul,December 2021,,,,,,,1,no
458,,Couple Leisure,Economy Class,Tunis to Belgrade via Istanbul,August 2021,2,2,2,1,1,1,1,no
459,Boeing 787,Solo Leisure,Business Class,Istanbul to Cancun,December 2021,5,5,5,5,5,5,5,yes
460,A321-200,Business,Business Class,Tbilisi to Istanbul,December 2021,4,3,4,1,3,1,4,no
461,,Solo Leisure,Economy Class,Chicago to Hyderabad via Istanbul,December 2021,3,1,1,3,1,,1,no
462,,Solo Leisure,Economy Class,Marrakesh to Tel Aviv,December 2021,1,1,,,1,,1,no
463,,Solo Leisure,Economy Class,Toulouse to Istanbul,November 2021,1,1,3,3,1,1,2,no
464,Boeing 787,Solo Leisure,Economy Class,MIami to Istanbul via Kyiv,October 2021,1,1,,,1,,1,no
465,A330-300 / Boeing 787-8,Solo Leisure,Economy Class,Parisnto Kiev via Istanbul,December 2021,5,5,5,5,3,5,5,yes
466,,Family Leisure,Economy Class,Washington  to Doha via Istanbul,November 2021,1,2,1,1,1,1,2,no
467,,Couple Leisure,Economy Class,Dubai to Miami via Istanbul,November 2021,1,1,,,1,,1,no
468,A330,Solo Leisure,Economy Class,Basel to Mauritius via Istanbul,November 2021,2,2,1,4,3,,3,no
469,,Family Leisure,Business Class,Dallas Ft Worth to Istanbul,November 2021,2,1,1,2,1,1,1,no
470,A321N,Couple Leisure,Economy Class,İzmir to İstanbul,November 2021,5,5,3,5,5,3,5,yes
471,A320 NEO,Solo Leisure,Economy Class,Athens to Istanbul,November 2021,2,1,1,2,1,1,1,no
472,"Boeing 737-900, Boeing 787-9",Family Leisure,Economy Class,Odesa to Miami via Istanbul,September 2021,4,5,5,5,5,4,4,yes
473,Boeing 777,Business,Economy Class,Houston to Amman via Istanbul,October 2021,4,4,5,3,1,,5,no
474,,Family Leisure,Economy Class,Cairo to Chicago via Istanbul,October 2021,1,1,1,1,1,1,1,no
475,,Family Leisure,Business Class,Dallas to Islamabad via Istanbul,November 2021,2,1,1,5,1,4,1,no
476,,Family Leisure,Economy Class,Lahore to Dallas via Istanbul,October 2021,1,3,1,3,1,2,1,no
477,,Family Leisure,Economy Class,Zurich to Saudi Arabia,November 2021,1,1,,,1,,1,no
478,,Family Leisure,Business Class,Washington to Kazan via Istanbul,November 2021,4,4,4,4,1,3,1,no
479,,Couple Leisure,Economy Class,Istanbul to Lisbon,November 2021,1,1,1,1,1,1,1,no
480,,Solo Leisure,Economy Class,Paris to Tehran via Istanbul,November 2021,,,,,,,1,no
481,,Solo Leisure,Economy Class,Cairo to Vancouver via Istanbul,November 2021,1,2,1,1,1,1,1,no
482,,Family Leisure,Economy Class,Istanbul to Cairo,October 2021,1,1,1,1,1,1,1,no
483,A321 /  Boeing777,Solo Leisure,Economy Class,Marseille to Islamabad via Istanbul,October 2021,5,5,5,3,5,1,5,yes
484,Boeing 777,Solo Leisure,Economy Class,Houston to Istanbul,November 2021,3,5,5,4,1,2,5,no
485,,Couple Leisure,Economy Class,Los Angeles to Istanbul,December 2020,,,,,,,1,no
486,Boeing 777,Family Leisure,Economy Class,Berlin to Dubai via Istanbul,October 2021,4,4,5,5,1,,5,yes
487,Boeing 787-9,Solo Leisure,Economy Class,Vancouver to Tehran via Istanbul,September 2021,1,1,2,2,1,,1,no
488,,Family Leisure,Premium Economy,Chicago O'Hare to Tabriz via Istanbul,September 2021,4,5,4,5,1,,3,no
